⚠️ better-sqlite3 not available, using stdlib sqlite3
📊 Total narrators missing translations: 21,658
📊 Fetched 21658 narrators to process

[Workers: 1] Starting 2166 batches
[430/2166] ✓ wrote 10, skipped 0
[431/2166] ✓ wrote 9, skipped 1
[432/2166] ✓ wrote 10, skipped 0
[433/2166] ✓ wrote 10, skipped 0
[434/2166] ✓ wrote 10, skipped 0
[435/2166] ✓ wrote 10, skipped 0
[436/2166] ✓ wrote 10, skipped 0
[437/2166] ✓ wrote 10, skipped 0
[438/2166] ✓ wrote 10, skipped 0
[439/2166] ✓ wrote 10, skipped 0
[440/2166] ✓ wrote 9, skipped 1
[441/2166] ✓ wrote 10, skipped 0
[442/2166] ✓ wrote 10, skipped 0
[443/2166] ✓ wrote 10, skipped 0
[444/2166] ✓ wrote 10, skipped 0
[445/2166] ✓ wrote 9, skipped 1
[446/2166] ✓ wrote 10, skipped 0
[447/2166] ✓ wrote 10, skipped 0
[448/2166] ✓ wrote 10, skipped 0
[449/2166] ✓ wrote 10, skipped 0
[450/2166] ✓ wrote 10, skipped 0
[451/2166] ✓ wrote 10, skipped 0
[452/2166] ✓ wrote 9, skipped 1
[453/2166] ✓ wrote 10, skipped 0
[454/2166] ✓ wrote 10, skipped 0
[455/2166] ✓ wrote 10, skipped 0
[456/2166] ✓ wrote 10, skipped 0
[457/2166] ✓ wrote 10, skipped 0
[458/2166] ✓ wrote 10, skipped 0
[459/2166] ✓ wrote 10, skipped 0
[460/2166] ✓ wrote 9, skipped 1
[461/2166] ✓ wrote 10, skipped 0
[462/2166] ✓ wrote 10, skipped 0
[463/2166] ✓ wrote 10, skipped 0
[464/2166] ✓ wrote 10, skipped 0
[465/2166] ✓ wrote 10, skipped 0
[466/2166] ✓ wrote 10, skipped 0
[467/2166] ✓ wrote 9, skipped 1
[468/2166] ✓ wrote 9, skipped 1
[469/2166] ✓ wrote 9, skipped 1
[470/2166] ✓ wrote 10, skipped 0
[471/2166] ✓ wrote 10, skipped 0
[472/2166] ✓ wrote 10, skipped 0
[473/2166] ✓ wrote 10, skipped 0
[474/2166] ✓ wrote 10, skipped 0
[475/2166] ✓ wrote 10, skipped 0
[476/2166] ✓ wrote 10, skipped 0
[477/2166] ✓ wrote 10, skipped 0
[478/2166] ✓ wrote 10, skipped 0
[479/2166] ✓ wrote 10, skipped 0
[480/2166] ✓ wrote 10, skipped 0
[481/2166] ✓ wrote 10, skipped 0
[482/2166] ✓ wrote 10, skipped 0
[483/2166] ✓ wrote 10, skipped 0
[484/2166] ✓ wrote 10, skipped 0
[485/2166] ✓ wrote 10, skipped 0
[486/2166] ✓ wrote 10, skipped 0
[487/2166] ✓ wrote 10, skipped 0
[488/2166] ✓ wrote 10, skipped 0
[489/2166] ✓ wrote 10, skipped 0
[490/2166] ✓ wrote 10, skipped 0
[491/2166] ✓ wrote 10, skipped 0
[492/2166] ✓ wrote 10, skipped 0
[493/2166] ✓ wrote 10, skipped 0
[494/2166] ✓ wrote 10, skipped 0
[495/2166] ✓ wrote 10, skipped 0
[496/2166] ✓ wrote 10, skipped 0
[497/2166] ✓ wrote 10, skipped 0
[498/2166] ✓ wrote 10, skipped 0
[499/2166] ✓ wrote 10, skipped 0
[500/2166] ✓ wrote 10, skipped 0
[501/2166] ✓ wrote 9, skipped 1
[502/2166] ✓ wrote 10, skipped 0
[503/2166] ✓ wrote 10, skipped 0
[504/2166] ✓ wrote 10, skipped 0
[505/2166] ✓ wrote 10, skipped 0
[506/2166] ✓ wrote 10, skipped 0
[507/2166] ✓ wrote 10, skipped 0
[508/2166] ✓ wrote 10, skipped 0
[509/2166] ✓ wrote 10, skipped 0
[510/2166] ✓ wrote 10, skipped 0
[511/2166] ✓ wrote 10, skipped 0
[512/2166] ✓ wrote 10, skipped 0
[513/2166] ✓ wrote 10, skipped 0
[514/2166] ✓ wrote 10, skipped 0
[515/2166] ✓ wrote 10, skipped 0
[516/2166] ✓ wrote 10, skipped 0
[517/2166] ✓ wrote 9, skipped 1
[518/2166] ✓ wrote 10, skipped 0
[519/2166] ✓ wrote 10, skipped 0
[520/2166] ✓ wrote 10, skipped 0
[521/2166] ✓ wrote 10, skipped 0
[522/2166] ✓ wrote 10, skipped 0
[523/2166] ✓ wrote 10, skipped 0
[524/2166] ✓ wrote 10, skipped 0
[525/2166] ✓ wrote 10, skipped 0
[526/2166] ✓ wrote 10, skipped 0
[527/2166] ✓ wrote 10, skipped 0
[528/2166] ✓ wrote 10, skipped 0
[529/2166] ✓ wrote 10, skipped 0
[530/2166] ✓ wrote 9, skipped 1
[531/2166] ✓ wrote 9, skipped 1
[532/2166] ✓ wrote 10, skipped 0
[533/2166] ✓ wrote 10, skipped 0
[534/2166] ✓ wrote 10, skipped 0
[535/2166] ✓ wrote 10, skipped 0
[536/2166] ✓ wrote 10, skipped 0
[537/2166] ✓ wrote 10, skipped 0
[538/2166] ✓ wrote 10, skipped 0
[539/2166] ✓ wrote 10, skipped 0
[540/2166] ✓ wrote 10, skipped 0
[541/2166] ✓ wrote 10, skipped 0
[542/2166] ✓ wrote 10, skipped 0
[543/2166] ✓ wrote 10, skipped 0
[544/2166] ✓ wrote 10, skipped 0
[545/2166] ✓ wrote 10, skipped 0
[546/2166] ✓ wrote 10, skipped 0
[547/2166] ✓ wrote 10, skipped 0
[548/2166] ✓ wrote 10, skipped 0
[549/2166] ✓ wrote 10, skipped 0
[550/2166] ✓ wrote 10, skipped 0
[551/2166] ✓ wrote 10, skipped 0
[552/2166] ✓ wrote 10, skipped 0
[553/2166] ✓ wrote 10, skipped 0
[554/2166] ✓ wrote 10, skipped 0
[555/2166] ✓ wrote 10, skipped 0
[556/2166] ✓ wrote 10, skipped 0
[557/2166] ✓ wrote 10, skipped 0
[558/2166] ✓ wrote 10, skipped 0
[559/2166] ✓ wrote 10, skipped 0
[560/2166] ✓ wrote 10, skipped 0
[561/2166] ✓ wrote 10, skipped 0
[562/2166] ✓ wrote 10, skipped 0
[563/2166] ✓ wrote 10, skipped 0
[564/2166] ✓ wrote 10, skipped 0
[565/2166] ✓ wrote 10, skipped 0
[566/2166] ✓ wrote 10, skipped 0
[567/2166] ✓ wrote 10, skipped 0
[568/2166] ✓ wrote 10, skipped 0
[569/2166] ✓ wrote 9, skipped 1
[570/2166] ✓ wrote 10, skipped 0
[571/2166] ✓ wrote 10, skipped 0
[572/2166] ✓ wrote 10, skipped 0
[573/2166] ✓ wrote 10, skipped 0
[574/2166] ✓ wrote 10, skipped 0
[575/2166] ✓ wrote 10, skipped 0
[576/2166] ✓ wrote 10, skipped 0
[577/2166] ✓ wrote 10, skipped 0
[578/2166] ✓ wrote 10, skipped 0
[579/2166] ✓ wrote 10, skipped 0
[580/2166] ✓ wrote 10, skipped 0
[581/2166] ✓ wrote 10, skipped 0
[582/2166] ✓ wrote 10, skipped 0
[583/2166] ✓ wrote 10, skipped 0
[584/2166] ✓ wrote 10, skipped 0
[585/2166] ✓ wrote 10, skipped 0
[586/2166] ✓ wrote 10, skipped 0
[587/2166] ✓ wrote 10, skipped 0
[588/2166] ✓ wrote 10, skipped 0
[589/2166] ✓ wrote 10, skipped 0
[590/2166] ✓ wrote 10, skipped 0
[591/2166] ✓ wrote 9, skipped 1
[592/2166] ✓ wrote 10, skipped 0
[593/2166] ✓ wrote 10, skipped 0
[594/2166] ✓ wrote 10, skipped 0
[595/2166] ✓ wrote 10, skipped 0
[596/2166] ✓ wrote 10, skipped 0
[597/2166] ✓ wrote 9, skipped 1
[598/2166] ✓ wrote 10, skipped 0
[599/2166] ✓ wrote 10, skipped 0
[600/2166] ✓ wrote 10, skipped 0
[601/2166] ✓ wrote 10, skipped 0
[602/2166] ✓ wrote 10, skipped 0
[603/2166] ✓ wrote 10, skipped 0
[604/2166] ✓ wrote 10, skipped 0
[605/2166] ✓ wrote 10, skipped 0
[606/2166] ✓ wrote 10, skipped 0
[607/2166] ✓ wrote 10, skipped 0
[608/2166] ✓ wrote 10, skipped 0
[609/2166] ✓ wrote 10, skipped 0
[610/2166] ✓ wrote 10, skipped 0
[611/2166] ✓ wrote 9, skipped 1
[612/2166] ✓ wrote 10, skipped 0
[613/2166] ✓ wrote 10, skipped 0
[614/2166] ✓ wrote 10, skipped 0
[615/2166] ✓ wrote 10, skipped 0
[616/2166] ✓ wrote 9, skipped 1
[617/2166] ✓ wrote 10, skipped 0
[618/2166] ✓ wrote 10, skipped 0
[619/2166] ✓ wrote 10, skipped 0
[620/2166] ✓ wrote 10, skipped 0
[621/2166] ✓ wrote 10, skipped 0
[622/2166] ✓ wrote 10, skipped 0
[623/2166] ✓ wrote 10, skipped 0
[624/2166] ✓ wrote 10, skipped 0
[625/2166] ✓ wrote 10, skipped 0
